freq_rank,lemma
1883,circle
1884,approach
1885,stock
1886,percent
1887,tail
1888,education
1889,bravo
1890,library
1891,rape
1892,wing
1893,growl
1894,thrown
1895,tank
1896,exhale
1897,authority
1898,current
1899,failure
1900,nightmare
1901,glory
1902,barry
1903,agency
1904,apple
1905,border
1906,rope
1907,duck
1908,reputation
1909,confidence
1910,yard
1911,belove
1912,lack
1913,skill
1914,mental
1915,salt
1916,flesh
1917,anne
1918,secure
1919,federal
1920,sand
1921,emotional
1922,senator
1923,robbery
1924,reward
1925,theater
1926,johnson
1927,patrick
1928,extraordinary
1929,opposite
1930,terry
1931,chat
1932,mummy
1933,bay
1934,slip
1935,disappoint
1936,andrew
1937,alert
1938,pink
1939,fella
1940,background
1941,garbage
1942,panic
1943,belt
1944,hollywood
1945,agreement
1946,jackie
1947,ability
1948,tiger
1949,whisper
1950,culture
1951,saint
1952,jesse
1953,task
1954,solid
1955,doll
1956,intend
1957,district
1958,pa
1959,custody
1960,ignore
1961,useful
1962,attempt
1963,abandon
1964,guarantee
1965,bark
1966,gather
1967,policy
1968,violent
1969,maid
1970,embarrass
1971,childhood
1972,bow
1973,chick
1974,sara
1975,disaster
1976,revolution
1977,online
1978,demon
1979,heavily
1980,coincidence
1981,perform
1982,thin
1983,terrific
1984,mac
1985,crown
1986,identity
1987,virgin
1988,impressive
1989,potential
1990,guitar
1991,committee
1992,dozen
1993,delivery
1994,advance
1995,stan
1996,hunter
1997,latest
1998,sw
1999,capital
2000,drew
2001,dirt
2002,whistle
2003,marie
2004,doug
2005,deny
2006,urgent
2007,threaten
2008,behavior
2009,mol
2010,mix
2011,assure
2012,subtitle
2013,explanation
2014,unique
2015,billion
2016,duke
2017,production
2018,slave
2019,carol
2020,let
2021,cruel
2022,mask
2023,sal
2024,behave
2025,massive
2026,pathetic
2027,specie
2028,jo
2029,loan
2030,struggle
2031,dish
2032,channel
2033,abby
2034,jean
2035,daily
2036,basement
2037,linda
2038,quarter
2039,bound
2040,navy
2041,article
2042,guide
2043,accus
2044,transfer
2045,gut
2046,quality
2047,roman
2048,greater
2049,couch
2050,vega
2051,shoe
2052,title
2053,shy
2054,punishment
2055,click
2056,closet
2057,fever
2058,coward
2059,flash
2060,impress
2061,bruce
2062,siren
2063,bowl
2064,katie
2065,supp
2066,sensitive
2067,hopeful
2068,roy
2069,tone
2070,cheat
2071,confess
2072,demand
2073,museum
2074,unknown
2075,drama
2076,suspicious
2077,adult
2078,todd
2079,frighten
2080,steady
2081,lou
2082,sandwich
2083,joint
2084,package
2085,thursday
2086,boot
2087,possibility
2088,albert
2089,civil
2090,june
2091,baseball
2092,express
2093,miserable
2094,tuesday
2095,parker
2096,lion
2097,joseph
2098,shine
2099,assault
2100,hong
2101,argue
2102,trail
2103,option
2104,recall
2105,mighty
2106,collection
2107,oliver
2108,wilson
2109,accent
2110,mobile
2111,terribly
2112,sec
2113,charity
2114,pussy
2115,donna
2116,flag
2117,kidnap
2118,ita
2119,balance
2120,nuclear
2121,wallet
2122,vincent
2123,impression
2124,angela
2125,jay
2126,degree
2127,favour
2128,reaction
2129,network
2130,jessica
2131,version
2132,concert
2133,gear
2134,singer
2135,diamond
2136,defeat
2137,steven
2138,lane
2139,blast
2140,anytime
2141,charlotte
2142,ceremony
2143,league
2144,orange
2145,specific
2146,plastic
2147,crisis
2148,fifth
2149,self
2150,bud
2151,commissioner
2152,rip
2153,mysterious
2154,entrance
2155,tunnel
2156,neighbor
2157,aboard
2158,sweat
2159,justin
2160,bust
2161,el
2162,teddy
2163,kong
2164,afterward
2165,comfort
2166,mason
2167,surrender
2168,gym
2169,kitty
2170,crush
2171,arrange
2172,pee
2173,stress
2174,cave
2175,we
2176,jordan
2177,comrade
2178,noble
2179,betty
2180,launch
2181,legend
2182,golf
2183,imagination
2184,fox
2185,butter
2186,tax
2187,gross
2188,edward
2189,texas
2190,insist
2191,classic
2192,selfish
2193,skull
2194,shown
2195,bat
2196,print
2197,champion
2198,therapy
2199,lifetime
2200,throughout
2201,nathan
2202,sauce
2203,experiment
2204,margaret
2205,describe
2206,ross
2207,grass
2208,attend
2209,homework
2210,lewis
2211,betray
2212,servant
2213,cap
2214,tyler
2215,bible
2216,practical
2217,catherine
2218,steel
2219,wipe
2220,generation
2221,cabin
2222,financial
2223,industry
2224,bond
2225,sheep
2226,scientist
2227,beaten
2228,heck
2229,deck
2230,script
2231,brand
2232,painful
2233,cough
2234,religion
2235,stephen
2236,influence
2237,fuel
2238,rabbit
2239,exercise
2240,attractive
2241,virus
2242,realise
2243,torture
2244,plain
2245,rebecca
2246,barbara
2247,footstep
2248,sacre
2249,jewish
2250,goodnight
2251,robot
2252,crystal
2253,confirm
2254,lad
2255,mile
2256,division
2257,scratch
2258,russia
2259,contest
2260,valuable
2261,distant
2262,motion
2263,electricity
2264,centre
2265,tina
2266,jeremy
2267,seal
2268,standard
2269,ellen
2270,wore
2271,surround
2272,struck
2273,inform
2274,gentle
2275,status
2276,purse
2277,kenny
2278,nina
2279,construction
2280,confession
2281,trigger
2282,exit
2283,response
2284,cancel
2285,argument
2286,principal
2287,turkey
2288,clinic
2289,greeting
2290,vice
2291,toy
2292,everyday
2293,generous
2294,gain
2295,hol
2296,jungle
2297,link
2298,underground
2299,mistress
2300,product
2301,beef
2302,religious
2303,identify
2304,chip
2305,surveillance
2306,carlo
2307,vampire
2308,routine
2309,michelle
2310,underneath
2311,temperature
2312,tribe
2313,brad
2314,deputy
2315,headquarter
2316,equal
2317,ken
2318,reckon
2319,relate
2320,incredibly
2321,chill
2322,spit
2323,oscar
2324,makeup
2325,bug
2326,nerve
2327,stake
2328,port
2329,doorbell
2330,nephew
2331,miller
2332,proceed
2333,traitor
2334,outfit
2335,chloe
2336,bail
2337,patience
2338,foolish
2339,tokyo
2340,davis
2341,costume
2342,wayne
2343,injure
2344,ian
2345,pet
2346,cage
2347,spain
2348,awkward
2349,pattern
2350,filthy
2351,jew
2352,concentrate
2353,someplace
2354,citizen
2355,aim
2356,nancy
2357,thick
2358,basic
2359,electric
2360,pleasant
2361,cliff
2362,nail
2363,russell
2364,environment
2365,western
2366,average
2367,ease
2368,interrupt
2369,judy
2370,satisfy
2371,starve
2372,document
2373,anniversary
2374,beth
2375,election
2376,warrior
2377,forth
2378,fetch
2379,complex
2380,frozen
2381,replace
2382,prayer
2383,skip
2384,guilt
2385,tune
2386,woo
2387,conscience
2388,martha
2389,smaller
2390,determine
2391,blown
2392,hail
2393,unhappy
2394,booth
2395,pour
2396,berlin
2397,wrap
2398,randy
2399,behalf
2400,reasonable
2401,trunk
2402,festival
2403,tradition
2404,harvey
2405,motive
2406,being
2407,bishop
2408,dealer
2409,defendant
2410,backup
2411,ann
2412,nearby
2413,drank
2414,jonathan
2415,dennis
2416,benefit
2417,adventure
2418,territory
2419,apology
2420,dylan
2421,unlike
2422,own
2423,thus
2424,clay
2425,develop
2426,pipe
2427,gray
2428,favourite
2429,salad
2430,loyal
2431,atmosphere
2432,eva
2433,mouse
2434,downtown
2435,francisco
2436,pit
2437,rotten
2438,paradise
2439,meantime
2440,jess
2441,organization
2442,exam
